num.char,hidden.structure,hidden.size,hidden.depth,err.fct,act.fct.name,algorithm,accuracy,precision,recall,f1
100,"5,4,2",11,3,sse,softplus,rprop+,0.92,0.92,0.91,0.92
100,"4,4",8,2,sse,softplus,rprop+,0.92,0.93,0.91,0.92
100,5,5,1,sse,softplus,rprop+,0.92,0.91,0.92,0.92
100,"3,2,2",7,3,sse,softplus,rprop+,0.92,0.92,0.91,0.92
100,"4,3",7,2,sse,softplus,rprop+,0.92,0.93,0.92,0.92
100,"5,3",8,2,sse,softplus,rprop+,0.92,0.91,0.92,0.92
100,"4,2,3,2",11,4,sse,softplus,rprop+,0.92,0.93,0.91,0.92
100,"3,3,2,1",9,4,sse,softplus,rprop+,0.91,0.9,0.91,0.91
100,"3,3,3",9,3,sse,softplus,rprop+,0.91,0.92,0.91,0.91
100,"4,1",5,2,sse,softplus,rprop+,0.91,0.91,0.92,0.91
100,4,4,1,sse,softplus,rprop+,0.91,0.9,0.92,0.91
100,4,4,1,sse,softplus,rprop+,0.91,0.9,0.92,0.91
100,"3,5,4",12,3,sse,softplus,rprop+,0.91,0.92,0.89,0.9
100,"3,1,1",5,3,sse,softplus,rprop+,0.9,0.91,0.89,0.9
100,"3,3,1",7,3,sse,softplus,rprop+,0.9,0.91,0.89,0.9
100,"3,4",7,2,sse,softplus,rprop+,0.9,0.9,0.9,0.9
100,"4,2",6,2,sse,softplus,rprop+,0.91,0.93,0.88,0.9
100,4,4,1,sse,softplus,rprop+,0.9,0.89,0.91,0.9
100,"4,3,3,4",14,4,sse,softplus,rprop+,0.9,0.9,0.91,0.9
100,3,3,1,sse,softplus,rprop+,0.9,0.88,0.91,0.9
100,"3,2,5,4",14,4,sse,softplus,rprop+,0.89,0.89,0.88,0.89
100,"2,3",5,2,sse,softplus,rprop+,0.89,0.89,0.89,0.89
100,"2,2",4,2,sse,softplus,rprop+,0.88,0.88,0.88,0.88
100,"2,4",6,2,sse,softplus,rprop+,0.88,0.88,0.88,0.88
100,"2,1,1,5",9,4,sse,softplus,rprop+,0.88,0.88,0.88,0.88
100,"2,4,3,4",13,4,sse,softplus,rprop+,0.88,0.88,0.88,0.88
100,3,3,1,sse,softplus,rprop+,0.88,0.88,0.88,0.88
100,"3,4",7,2,sse,softplus,rprop+,0.88,0.88,0.88,0.88
100,"2,2",4,2,sse,softplus,rprop+,0.88,0.88,0.88,0.88
100,"2,2,1,2",7,4,sse,softplus,rprop+,0.87,0.87,0.87,0.87
100,2,2,1,sse,softplus,rprop+,0.87,0.87,0.87,0.87
100,"2,1,1,1",5,4,sse,softplus,rprop+,0.86,0.84,0.89,0.87
100,"2,3,2,4",11,4,sse,softplus,rprop+,0.87,0.87,0.88,0.87
100,"2,2",4,2,sse,softplus,rprop+,0.87,0.88,0.87,0.87
100,"2,4,2,3",11,4,sse,softplus,rprop+,0.87,0.87,0.86,0.87
100,"2,3,2",7,3,sse,softplus,rprop+,0.87,0.89,0.85,0.87
100,"2,2,4,1",9,4,sse,softplus,rprop+,0.87,0.84,0.9,0.87
100,"2,5,5",12,3,sse,softplus,rprop+,0.87,0.87,0.87,0.87
100,2,2,1,sse,softplus,rprop+,0.87,0.86,0.89,0.87
100,"2,1",3,2,sse,softplus,rprop+,0.87,0.85,0.9,0.87
100,"2,1",3,2,sse,softplus,rprop+,0.8,0.83,0.77,0.8
100,"1,5",6,2,sse,softplus,rprop+,0.8,0.82,0.78,0.8
100,1,1,1,sse,softplus,rprop+,0.8,0.82,0.78,0.8
100,"1,2",3,2,sse,softplus,rprop+,0.81,0.82,0.78,0.8
100,"1,1,4,3",9,4,sse,softplus,rprop+,0.81,0.82,0.78,0.8
100,"1,2",3,2,sse,softplus,rprop+,0.81,0.82,0.78,0.8
100,"1,2,1",4,3,sse,softplus,rprop+,0.8,0.82,0.78,0.8
100,"1,1",2,2,sse,softplus,rprop+,0.8,0.83,0.77,0.8
100,"1,2,2",5,3,sse,softplus,rprop+,0.8,0.82,0.78,0.8
100,1,1,1,sse,softplus,rprop+,0.81,0.82,0.79,0.8
100,"1,3,3",7,3,sse,softplus,rprop+,0.81,0.82,0.78,0.8
100,"1,2,3,2",8,4,sse,softplus,rprop+,0.81,0.82,0.78,0.8
100,"1,4,3",8,3,sse,softplus,rprop+,0.81,0.82,0.79,0.8
100,"1,4,4",9,3,sse,softplus,rprop+,0.81,0.82,0.78,0.8
100,"2,2,5",9,3,sse,softplus,rprop+,0.5,0.5,1,0.67
