num.char,hidden.structure,hidden.size,hidden.depth,err.fct,act.fct.name,algorithm,accuracy,precision,recall,f1
10,"5,4",9,2,sse,tanh,rprop+,0.73,0.78,0.69,0.73
10,"1,5",6,2,sse,tanh,rprop+,0.71,0.75,0.68,0.72
10,1,1,1,sse,tanh,rprop+,0.71,0.76,0.68,0.72
10,"4,4",8,2,sse,tanh,rprop+,0.7,0.72,0.72,0.72
10,"5,4,3,2",14,4,sse,tanh,rprop+,0.71,0.73,0.7,0.72
10,"5,2,1",8,3,sse,tanh,rprop+,0.7,0.73,0.71,0.72
10,"4,2",6,2,sse,tanh,rprop+,0.71,0.73,0.72,0.72
10,3,3,1,sse,tanh,rprop+,0.72,0.78,0.66,0.72
10,"1,2",3,2,sse,tanh,rprop+,0.7,0.72,0.73,0.72
10,5,5,1,sse,tanh,rprop+,0.72,0.78,0.66,0.72
10,"1,1",2,2,sse,tanh,rprop+,0.71,0.76,0.68,0.72
10,"4,3",7,2,sse,tanh,rprop+,0.72,0.79,0.65,0.72
10,"2,3,2",7,3,sse,tanh,rprop+,0.71,0.76,0.68,0.72
10,"3,2",5,2,sse,tanh,rprop+,0.69,0.71,0.73,0.72
10,"4,3,4",11,3,sse,tanh,rprop+,0.71,0.75,0.7,0.72
10,"1,2,2",5,3,sse,tanh,rprop+,0.7,0.72,0.71,0.72
10,"2,3",5,2,sse,tanh,rprop+,0.71,0.74,0.69,0.72
10,1,1,1,sse,tanh,rprop+,0.71,0.76,0.68,0.72
10,"5,1,4",10,3,sse,tanh,rprop+,0.71,0.74,0.7,0.72
10,"2,4",6,2,sse,tanh,rprop+,0.72,0.78,0.66,0.72
10,"5,2,4",11,3,sse,tanh,rprop+,0.7,0.73,0.7,0.71
10,3,3,1,sse,tanh,rprop+,0.72,0.8,0.65,0.71
10,"2,1",3,2,sse,tanh,rprop+,0.71,0.77,0.65,0.71
10,"2,2,1,2",7,4,sse,tanh,rprop+,0.72,0.79,0.64,0.71
10,"5,2,3",10,3,sse,tanh,rprop+,0.71,0.76,0.67,0.71
10,"4,4",8,2,sse,tanh,rprop+,0.7,0.74,0.69,0.71
10,"3,3,1",7,3,sse,tanh,rprop+,0.7,0.74,0.68,0.71
10,"3,2",5,2,sse,tanh,rprop+,0.7,0.74,0.69,0.71
10,"2,1,1,1",5,4,sse,tanh,rprop+,0.7,0.73,0.69,0.71
10,"3,4",7,2,sse,tanh,rprop+,0.71,0.75,0.68,0.71
10,"2,4",6,2,sse,tanh,rprop+,0.69,0.71,0.71,0.71
10,"1,2",3,2,sse,tanh,rprop+,0.7,0.72,0.71,0.71
10,"4,4",8,2,sse,tanh,rprop+,0.7,0.74,0.68,0.71
10,4,4,1,sse,tanh,rprop+,0.72,0.81,0.63,0.71
10,"1,1,4,3",9,4,sse,tanh,rprop+,0.72,0.81,0.63,0.71
10,"2,2",4,2,sse,tanh,rprop+,0.7,0.72,0.7,0.71
10,3,3,1,sse,tanh,rprop+,0.7,0.73,0.69,0.71
10,"1,2,1",4,3,sse,tanh,rprop+,0.7,0.72,0.71,0.71
10,"3,3,2,1",9,4,sse,tanh,rprop+,0.7,0.75,0.67,0.71
10,"2,4,3",9,3,sse,tanh,rprop+,0.71,0.75,0.67,0.71
10,"1,5,3,4",13,4,sse,tanh,rprop+,0.72,0.8,0.63,0.71
10,2,2,1,sse,tanh,rprop+,0.72,0.8,0.64,0.71
10,"4,2",6,2,sse,tanh,rprop+,0.7,0.74,0.68,0.71
10,3,3,1,sse,tanh,rprop+,0.72,0.79,0.65,0.71
10,"2,1",3,2,sse,tanh,rprop+,0.71,0.77,0.65,0.71
10,"4,5,2",11,3,sse,tanh,rprop+,0.71,0.76,0.67,0.71
10,4,4,1,sse,tanh,rprop+,0.72,0.81,0.63,0.71
10,"2,2",4,2,sse,tanh,rprop+,0.7,0.72,0.71,0.71
10,"5,2",7,2,sse,tanh,rprop+,0.7,0.74,0.67,0.71
10,"5,3",8,2,sse,tanh,rprop+,0.72,0.79,0.65,0.71
10,2,2,1,sse,tanh,rprop+,0.71,0.77,0.66,0.71
10,"2,1",3,2,sse,tanh,rprop+,0.71,0.77,0.65,0.71
10,"2,3,2",7,3,sse,tanh,rprop+,0.69,0.71,0.7,0.71
10,"1,4,3",8,3,sse,tanh,rprop+,0.7,0.73,0.7,0.71
10,"4,2",6,2,sse,tanh,rprop+,0.73,0.85,0.6,0.7
10,2,2,1,sse,tanh,rprop+,0.69,0.74,0.66,0.7
10,"3,2,4,1",10,4,sse,tanh,rprop+,0.71,0.78,0.63,0.7
10,"2,2,4,1",9,4,sse,tanh,rprop+,0.73,0.88,0.58,0.7
10,"4,1",5,2,sse,tanh,rprop+,0.71,0.78,0.64,0.7
10,4,4,1,sse,tanh,rprop+,0.69,0.72,0.68,0.7
10,"1,2,3,2",8,4,sse,tanh,rprop+,0.71,0.8,0.6,0.69
